"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
279,"2019-02-01 06:43:19.7600","2019-02-01 06:47:58.7610",57,"Columbus Ave at Massachusetts Ave",42.340542615516355,-71.08138847914233,16,"Back Bay T Stop - Dartmouth St at Stuart St",42.34807412317439,-71.07657015323639,3547,"Subscriber",1995,1
1691,"2019-02-01 06:44:21.1850","2019-02-01 07:12:32.8710",78,"Union Square - Somerville",42.379595255143805,-71.09530799109052,4,"Tremont St at E Berkeley St",42.345392,-71.069616,3200,"Subscriber",1987,1
1175,"2019-02-01 06:44:29.7000","2019-02-01 07:04:05.0730",222,"Troy Boston",42.343749,-71.062256,80,"MIT Stata Center at Vassar St / Main St",42.3621312344991,-71.09115600585936,2136,"Subscriber",1993,2
428,"2019-02-01 06:45:47.8810","2019-02-01 06:52:56.5070",342,"Boylston St at Jersey St",42.344650628878306,-71.09732501226972,11,"Longwood Ave at Binney St",42.338629,-71.1065,2533,"Subscriber",1984,1
188,"2019-02-01 06:46:19.4900","2019-02-01 06:49:27.8230",192,"Purchase St at Pearl St",42.354659,-71.053181,22,"South Station - 700 Atlantic Ave",42.352175,-71.055547,4527,"Subscriber",1962,1
277,"2019-02-01 06:46:44.1360","2019-02-01 06:51:21.8610",3,"Colleges of the Fenway - Fenway at Avenue Louis Pasteur",42.34011512249236,-71.10061883926392,19,"Park Dr at Buswell St",42.347241,-71.105301,2903,"Subscriber",1991,2
638,"2019-02-01 06:47:16.0610","2019-02-01 06:57:54.3730",40,"Lewis Wharf at Atlantic Ave",42.363871,-71.050877,150,"State Street at Channel Center",42.344137,-71.052608,4432,"Subscriber",1992,1
603,"2019-02-01 06:48:25.3300","2019-02-01 06:58:29.2910",15,"Brighton Mills - 370 Western Ave",42.3615457081725,-71.13776206970215,17,"Soldiers Field Park - 111 Western Ave",42.364263440638524,-71.1182756971175,3784,"Subscriber",1991,1
454,"2019-02-01 06:50:58.4380","2019-02-01 06:58:32.8530",23,"Boston City Hall - 28 State St",42.35892,-71.057629,150,"State Street at Channel Center",42.344137,-71.052608,2696,"Subscriber",1981,1
1068,"2019-02-01 06:51:14.8470","2019-02-01 07:09:02.9400",57,"Columbus Ave at Massachusetts Ave",42.340542615516355,-71.08138847914233,7,"Fan Pier",42.3533905070523,-71.04457139968872,3907,"Subscriber",1991,1
378,"2019-02-01 06:51:44.1940","2019-02-01 06:58:02.4820",152,"Ink Block - Harrison Ave at Herald St",42.345901,-71.063187,39,"Washington St at Rutland St",42.338514601785995,-71.07404083013535,2542,"Subscriber",1968,2
700,"2019-02-01 06:51:47.3170","2019-02-01 07:03:27.8450",197,"MLK Blvd at Washington St",42.32143814183195,-71.09126061201096,39,"Washington St at Rutland St",42.338514601785995,-71.07404083013535,3378,"Subscriber",1991,1
443,"2019-02-01 06:52:31.8820","2019-02-01 06:59:55.7930",19,"Park Dr at Buswell St",42.347241,-71.105301,9,"Commonwealth Ave at Agganis Way",42.35169201885973,-71.11903488636017,2903,"Subscriber",1991,2
